2015-03-10 17:29:30 Notice: Notice (8): Undefined index: titulo in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 48]
2015-03-10 17:30:05 Notice: Notice (8): Undefined index: titulo in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 48]
2015-03-10 17:31:34 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 48]
2015-03-10 17:31:57 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 48]
2015-03-10 17:50:50 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 42]
2015-03-10 17:51:23 Notice: Notice (8): Undefined variable: autor in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 42]
2015-03-10 17:51:23 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 42]
2015-03-10 17:51:47 Notice: Notice (8): Undefined variable: autor in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 42]
2015-03-10 17:52:44 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 51]
2015-03-10 17:53:47 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 52]
2015-03-10 17:54:13 Notice: Notice (8): Undefined index: Publicacion in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 52]
2015-03-10 17:54:18 Notice: Notice (8): Undefined index: Publicacion in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/views/autor/list_autor.ctp, line 52]
2015-03-10 19:16:22 Notice: Notice (8): Undefined property: AdministradorController::$Receta in [/Applications/MAMP/htdocs/cakephp-1.3.20/app/controllers/administrador_controller.php, line 53]
2015-03-11 19:50:13 Notice: Notice (8): Undefined index: autor in [/Applications/MAMP/htdocs/ProyectoSilva/app/views/mi_pagina/index.ctp, line 17]
